source_id,relation,target_id
1997_Hochreiter_Long_Short_Term_Memory,dataset,Adding_Problem
1997_Hochreiter_Long_Short_Term_Memory,dataset,Embedded_Reber_Grammar
1997_Hochreiter_Long_Short_Term_Memory,dataset,Multiplication_Problem
1997_Hochreiter_Long_Short_Term_Memory,dataset,Synthetic_Long_Time_Lag_Benchmarks
1997_Hochreiter_Long_Short_Term_Memory,dataset,Temporal_Order_Problem
1997_Hochreiter_Long_Short_Term_Memory,feature,LSTM
1997_Hochreiter_Long_Short_Term_Memory,metric,Absolute_Error
1997_Hochreiter_Long_Short_Term_Memory,metric,Classification_Error
1997_Hochreiter_Long_Short_Term_Memory,metric,MSE
1997_Hochreiter_Long_Short_Term_Memory,model,LSTM
1997_Hochreiter_Long_Short_Term_Memory,model,RNN
1997_Hochreiter_Long_Short_Term_Memory,model,RTRL
1997_Hochreiter_Long_Short_Term_Memory,model,Recurrent_Cascade_Correlation
2001_Hippert_Neural_Networks_STLF_Review,dataset,Autonomous_Island_System_Crete
2001_Hippert_Neural_Networks_STLF_Review,dataset,Greek_Power_System
2001_Hippert_Neural_Networks_STLF_Review,dataset,Taiwan_Power_System
2001_Hippert_Neural_Networks_STLF_Review,dataset,Utility_Load_Data_1990s
2001_Hippert_Neural_Networks_STLF_Review,feature,Calendar_Features
2001_Hippert_Neural_Networks_STLF_Review,feature,Historical_Load
2001_Hippert_Neural_Networks_STLF_Review,feature,Humidity
2001_Hippert_Neural_Networks_STLF_Review,feature,Nonlinear_Temperature_Functions
2001_Hippert_Neural_Networks_STLF_Review,feature,Temperature
2001_Hippert_Neural_Networks_STLF_Review,feature,Weather_Forecast
2001_Hippert_Neural_Networks_STLF_Review,metric,MAE
2001_Hippert_Neural_Networks_STLF_Review,metric,MAPE
2001_Hippert_Neural_Networks_STLF_Review,metric,MSPE
2001_Hippert_Neural_Networks_STLF_Review,metric,RMSE
2001_Hippert_Neural_Networks_STLF_Review,metric,Standard_Deviation_Errors
2001_Hippert_Neural_Networks_STLF_Review,model,ANN
2001_Hippert_Neural_Networks_STLF_Review,model,ARIMA
2001_Hippert_Neural_Networks_STLF_Review,model,Adaline
2001_Hippert_Neural_Networks_STLF_Review,model,Fuzzy_Neural_Network
2001_Hippert_Neural_Networks_STLF_Review,model,Kohonen_SOM
2001_Hippert_Neural_Networks_STLF_Review,model,Linear_Regression
2001_Hippert_Neural_Networks_STLF_Review,model,MLP
2001_Hippert_Neural_Networks_STLF_Review,model,Projection_Pursuit_Regression
2001_Hippert_Neural_Networks_STLF_Review,model,RNN
2013_Roberts_Gaussian_Processes_Time_Series,dataset,Bramblemet_Sensor_Network
2013_Roberts_Gaussian_Processes_Time_Series,dataset,Dow_Jones_1972_1975
2013_Roberts_Gaussian_Processes_Time_Series,dataset,HD_189733_Photometry
2013_Roberts_Gaussian_Processes_Time_Series,dataset,Nile_River_Water_Levels
2013_Roberts_Gaussian_Processes_Time_Series,feature,Changepoint_Kernel
2013_Roberts_Gaussian_Processes_Time_Series,feature,Covariance_Function
2013_Roberts_Gaussian_Processes_Time_Series,feature,Matern_Kernel
2013_Roberts_Gaussian_Processes_Time_Series,feature,Mean_Function
2013_Roberts_Gaussian_Processes_Time_Series,feature,Periodic_Kernel
2013_Roberts_Gaussian_Processes_Time_Series,feature,Rational_Quadratic_Kernel
2013_Roberts_Gaussian_Processes_Time_Series,feature,Squared_Exponential_Kernel
2013_Roberts_Gaussian_Processes_Time_Series,metric,Log_Marginal_Likelihood
2013_Roberts_Gaussian_Processes_Time_Series,metric,NRMSE
2013_Roberts_Gaussian_Processes_Time_Series,metric,RMSE
2013_Roberts_Gaussian_Processes_Time_Series,model,Gaussian_Process
2013_Roberts_Gaussian_Processes_Time_Series,model,Kalman_Filter
2014_Alizadeh_Scalable_Stochastic_EV_Demand,dataset,NHTS_2009
2014_Alizadeh_Scalable_Stochastic_EV_Demand,dataset,UC_Davis_PH_EV_Center_Data
2014_Alizadeh_Scalable_Stochastic_EV_Demand,feature,Calendar_Features
2014_Alizadeh_Scalable_Stochastic_EV_Demand,feature,Charging_Duration
2014_Alizadeh_Scalable_Stochastic_EV_Demand,feature,Charging_Power
2014_Alizadeh_Scalable_Stochastic_EV_Demand,feature,Daily_Mileage
2014_Alizadeh_Scalable_Stochastic_EV_Demand,feature,EV_Arrival_Rate
2014_Alizadeh_Scalable_Stochastic_EV_Demand,feature,Laxity_Slack_Time
2014_Alizadeh_Scalable_Stochastic_EV_Demand,feature,Submetering_Triplets
2014_Alizadeh_Scalable_Stochastic_EV_Demand,metric,Absolute_Error_kW
2014_Alizadeh_Scalable_Stochastic_EV_Demand,metric,Kolmogorov_Smirnov_Test
2014_Alizadeh_Scalable_Stochastic_EV_Demand,metric,Log_Likelihood
2014_Alizadeh_Scalable_Stochastic_EV_Demand,metric,MAE
2014_Alizadeh_Scalable_Stochastic_EV_Demand,model,ARIMA
2014_Alizadeh_Scalable_Stochastic_EV_Demand,model,Factor_Model
2014_Alizadeh_Scalable_Stochastic_EV_Demand,model,Kalman_Filter
2014_Alizadeh_Scalable_Stochastic_EV_Demand,model,Persistence_Model
2014_Alizadeh_Scalable_Stochastic_EV_Demand,model,Queuing_Model
2014_Kingma_Adam_Stochastic_Optimization,dataset,CIFAR-10
2014_Kingma_Adam_Stochastic_Optimization,dataset,IMDB_Movie_Reviews
2014_Kingma_Adam_Stochastic_Optimization,dataset,MNIST
2014_Kingma_Adam_Stochastic_Optimization,dataset,Synthetic_VAE_Objective
2014_Kingma_Adam_Stochastic_Optimization,feature,Adam
2014_Kingma_Adam_Stochastic_Optimization,feature,Bag_of_Words_Features
2014_Kingma_Adam_Stochastic_Optimization,feature,Dropout_Noise
2014_Kingma_Adam_Stochastic_Optimization,feature,Signal_to_Noise_Ratio
2014_Kingma_Adam_Stochastic_Optimization,metric,Convergence_Iterations
2014_Kingma_Adam_Stochastic_Optimization,metric,NLL
2014_Kingma_Adam_Stochastic_Optimization,metric,Wall_Clock_Time
2014_Kingma_Adam_Stochastic_Optimization,model,Adam
2015_Raza_Review_AI_Load_Demand,dataset,California_Grid
2015_Raza_Review_AI_Load_Demand,dataset,ELIA_Belgian_Grid
2015_Raza_Review_AI_Load_Demand,dataset,ISO_New_England_Grid
2015_Raza_Review_AI_Load_Demand,dataset,New_York_Grid
2015_Raza_Review_AI_Load_Demand,dataset,Ontario_Grid
2015_Raza_Review_AI_Load_Demand,dataset,Singapore_Grid
2015_Raza_Review_AI_Load_Demand,dataset,UK_National_Grid
2015_Raza_Review_AI_Load_Demand,dataset,Victoria_Australia_Grid
2015_Raza_Review_AI_Load_Demand,feature,Calendar_Features
2015_Raza_Review_AI_Load_Demand,feature,Dew_Point
2015_Raza_Review_AI_Load_Demand,feature,Electricity_Tariff
2015_Raza_Review_AI_Load_Demand,feature,Historical_Load
2015_Raza_Review_AI_Load_Demand,feature,Holiday_Flag
2015_Raza_Review_AI_Load_Demand,feature,Humidity
2015_Raza_Review_AI_Load_Demand,feature,Temperature
2015_Raza_Review_AI_Load_Demand,metric,MAE
2015_Raza_Review_AI_Load_Demand,metric,MAPE
2015_Raza_Review_AI_Load_Demand,metric,MSE
2015_Raza_Review_AI_Load_Demand,metric,RMSE
